[2018-10-01 16:46:01,844] [DEBUG] --------start loop--------
[2018-10-01 16:46:01,845] [DEBUG] initializing dbClass
[2018-10-01 16:46:02,876] [DEBUG] --------start loop--------
[2018-10-01 16:46:02,876] [DEBUG] initializing dbClass
[2018-10-01 16:46:03,909] [DEBUG] --------start loop--------
[2018-10-01 16:46:03,909] [DEBUG] initializing dbClass
[2018-10-01 16:46:04,938] [DEBUG] --------start loop--------
[2018-10-01 16:46:04,938] [DEBUG] initializing dbClass
[2018-10-01 16:46:05,964] [DEBUG] --------start loop--------
[2018-10-01 16:46:05,964] [DEBUG] initializing dbClass
[2018-10-01 16:46:07,008] [DEBUG] --------start loop--------
[2018-10-01 16:46:07,008] [DEBUG] initializing dbClass
[2018-10-01 16:46:08,035] [DEBUG] --------start loop--------
[2018-10-01 16:46:08,035] [DEBUG] initializing dbClass
[2018-10-01 16:46:09,059] [DEBUG] --------start loop--------
[2018-10-01 16:46:09,059] [DEBUG] initializing dbClass
[2018-10-01 16:46:10,102] [DEBUG] --------start loop--------
[2018-10-01 16:46:10,102] [DEBUG] initializing dbClass
[2018-10-01 16:46:11,128] [DEBUG] --------start loop--------
[2018-10-01 16:46:11,128] [DEBUG] initializing dbClass
[2018-10-01 16:46:12,160] [DEBUG] --------start loop--------
[2018-10-01 16:46:12,160] [DEBUG] initializing dbClass
[2018-10-01 16:46:13,186] [DEBUG] --------start loop--------
[2018-10-01 16:46:13,186] [DEBUG] initializing dbClass
[2018-10-01 16:46:14,219] [DEBUG] --------start loop--------
[2018-10-01 16:46:14,219] [DEBUG] initializing dbClass
[2018-10-01 16:46:15,257] [DEBUG] --------start loop--------
[2018-10-01 16:46:15,257] [DEBUG] initializing dbClass
[2018-10-01 16:46:16,283] [DEBUG] --------start loop--------
[2018-10-01 16:46:16,283] [DEBUG] initializing dbClass
[2018-10-01 16:46:17,312] [DEBUG] --------start loop--------
[2018-10-01 16:46:17,312] [DEBUG] initializing dbClass
[2018-10-01 16:46:18,342] [DEBUG] --------start loop--------
[2018-10-01 16:46:18,343] [DEBUG] initializing dbClass
[2018-10-01 16:46:19,374] [DEBUG] --------start loop--------
[2018-10-01 16:46:19,374] [DEBUG] initializing dbClass
[2018-10-01 16:46:20,403] [DEBUG] --------start loop--------
[2018-10-01 16:46:20,403] [DEBUG] initializing dbClass
[2018-10-01 16:46:21,431] [DEBUG] --------start loop--------
[2018-10-01 16:46:21,432] [DEBUG] initializing dbClass
[2018-10-01 16:46:22,461] [DEBUG] --------start loop--------
[2018-10-01 16:46:22,461] [DEBUG] initializing dbClass
[2018-10-01 16:46:23,489] [DEBUG] --------start loop--------
[2018-10-01 16:46:23,490] [DEBUG] initializing dbClass
[2018-10-01 16:46:24,521] [DEBUG] --------start loop--------
[2018-10-01 16:46:24,521] [DEBUG] initializing dbClass
[2018-10-01 16:46:25,549] [DEBUG] --------start loop--------
[2018-10-01 16:46:25,549] [DEBUG] initializing dbClass
[2018-10-01 16:46:26,576] [DEBUG] --------start loop--------
[2018-10-01 16:46:26,576] [DEBUG] initializing dbClass
[2018-10-01 16:46:27,608] [DEBUG] --------start loop--------
[2018-10-01 16:46:27,608] [DEBUG] initializing dbClass
[2018-10-03 16:44:49,329] [DEBUG] 尝试初始化数据库
[2018-10-03 16:44:49,330] [DEBUG] 尝试初始化数据库
[2018-10-03 16:44:50,331] [DEBUG] --------start main process loop--------
[2018-10-03 16:44:51,372] [DEBUG] --------start main process loop--------
[2018-10-03 16:44:52,400] [DEBUG] --------start main process loop--------
[2018-10-03 16:44:53,431] [DEBUG] --------start main process loop--------
[2018-10-03 16:44:54,461] [DEBUG] --------start main process loop--------
[2018-10-03 16:44:55,489] [DEBUG] --------start main process loop--------
[2018-10-03 16:44:56,519] [DEBUG] --------start main process loop--------
[2018-10-03 16:44:57,569] [DEBUG] --------start main process loop--------
[2018-10-03 16:44:58,597] [DEBUG] --------start main process loop--------
[2018-10-03 16:44:59,626] [DEBUG] --------start main process loop--------
[2018-10-03 16:45:00,655] [DEBUG] --------start main process loop--------
